ProductName,ProductCategory,UnitPrice
Samsung Galaxy S22 Ultra,Electronics,1199.99
Samsung QLED TV,Electronics,1499.99
Settlers of Catan,Toys,55.00
Shark Navigator Lift-Away Professional NV356E,Home Appliances,199.99
Sonos One (Gen 2),Electronics,219.00
Sony WH-1000XM5 Headphones,Electronics,399.99
Spalding NBA Street Basketball,Sports,24.99
Sunday Riley Good Genes All-In-One Lactic Acid Treatment,Beauty Products,85.00
Supergoop! Unseen Sunscreen SPF 40,Beauty Products,34.00
Tatcha The Water Cream,Beauty Products,68.00
The 7 Habits of Highly Effective People by Stephen R. Covey,Books,19.99
The Alchemist by Paulo Coelho,Books,16.99
The Catcher in the Rye by J.D. Salinger,Books,15.99
The Da Vinci Code,Books,15.99
The Four Agreements by Don Miguel Ruiz,Books,12.95
The Great Gatsby by F. Scott Fitzgerald,Books,14.99
The Hitchhiker's Guide to the Galaxy by Douglas Adams,Books,17.99
The Lord of the Rings by J.R.R. Tolkien,Books,24.99
The Midnight Library by Matt Haig,Books,26.00
The Nightingale by Kristin Hannah,Books,17.99
The Ordinary Caffeine Solution 5% + EGCG,Beauty Products,6.70
The Ordinary Hyaluronic Acid Serum,Beauty Products,6.80
The Ordinary Niacinamide Serum,Beauty Products,5.90
The Outsiders by S.E. Hinton,Books,12.99
The Power of Habit by Charles Duhigg,Books,18.00
The Power of Now by Eckhart Tolle,Books,16.99
The Road by Cormac McCarthy,Books,16.00
The Silent Patient by Alex Michaelides,Books,26.99
The Subtle Art of Not Giving a F*ck by Mark Manson,Books,24.99
The Sun Also Rises by Ernest Hemingway,Books,17.00
Think and Grow Rich by Napoleon Hill,Books,15.99
Titleist Pro V1 Golf Balls,Sports,49.99
To Kill a Mockingbird by Harper Lee,Books,14.99
Tom Ford Black Orchid Perfume,Beauty Products,140.00
Tommy Hilfiger Polo Shirt,Clothing,59.50
TriggerPoint GRID Foam Roller,Sports,34.95
Under Armour HOVR Sonic 4 Shoes,Sports,110.00
Under Armour HeatGear T-Shirt,Clothing,24.99
Under Armour Tech 2.0 T-Shirt,Clothing,25.00
Uniqlo Airism Mesh Boxer Briefs,Clothing,14.90
Uniqlo Airism Seamless Boxer Briefs,Clothing,14.90
Uniqlo Ultra Light Down Jacket,Clothing,69.90
Vitamix Explorian Blender,Home Appliances,349.95
Where the Crawdads Sing by Delia Owens,Books,18.00
Wilson Evolution Basketball,Sports,29.99
YETI Hopper Flip Portable Cooler,Sports,250.00
YETI Tundra 45 Cooler,Sports,325.00
YETI Tundra 65 Cooler,Sports,375.00
Yeti Rambler 20 oz Tumbler,Sports,35.00
Yeti Rambler Bottle,Sports,40.00
Yeti Rambler Tumbler,Sports,30.00
Yeti Roadie 24 Cooler,Sports,250.00
Yeti Tundra Haul Portable Wheeled Cooler,Sports,450.00
Youth to the People Superfood Antioxidant Cleanser,Beauty Products,36.00
Zara Summer Dress,Clothing,49.90
